image_width,image_height,image_area,image_aspect_ratio,image_dpi,image_entropy,edge_density,text_area_ratio,text_contrast,text_block_count,char_count_estimate,blur_measure,avg_brightness,brightness_variance,execution_time,load_time
1348,1152,1552896,1.1701388888888888,143.99259999999998,1.6151534067146949,0.0530325276129245,0.047500283341575994,203.2772521043664,256,261,0.0004226424440514089,232.64424919634027,3010.8932237593663,16.972990079782903,9.758217782092592
1872,2282,4271904,0.820333041191937,143.99259999999998,1.3167967307597608,0.07649633512363574,0.011180494692764631,207.37529330604104,245,1782,0.00028437542444070075,239.79337948605587,2023.526926802964,29.886789387091994,10.331151614586512
1908,1176,2243808,1.6224489795918366,143.99259999999998,1.7948894578195342,0.09323034769463341,0.08267686005219697,175.06789452587708,1053,1622,0.00023492752062035586,225.8150443353442,4051.4247535771287,14.025568529963493,10.559575097324947
300,455,136500,0.6593406593406593,95.9866,0.8915618125294484,0.07162637362637363,0.9944761904761905,0.0,1,1,0.000302693899869035,55.441369963369965,1517.763983764226,1.823137579485774,10.484335353597999
1168,650,759200,1.7969230769230768,143.99259999999998,1.4075474831993477,0.03982218124341412,0.9281006322444678,26.239496357453703,1,1,0.0017751228125682406,230.58627766069546,1124.893412329648,0.41689509619027376,10.261479085000852
2196,632,1387872,3.4746835443037973,143.99259999999998,1.3533268506296086,0.0882185100643287,0.07474572583062415,200.92111866820377,491,585,0.00023071748096567033,226.9087725669226,4666.874100430186,5.383740027435124,10.500545922045907
2550,3300,8415000,0.7727272727272727,299.9994,1.221623046629698,0.012929887106357695,0.17808568033273917,157.52882705018015,433,433,0.0010348885346683338,225.21009566250743,4457.041228677733,8.353405595757067,10.860499595602354
790,790,624100,1.0,72.009,3.004757489339086,0.040878064412754364,0.8089504887037334,98.7588292380517,1,8,0.0008552725215776877,172.28191475725043,6927.101426168665,0.5291458442807198,10.126396296545863
2008,1614,3240912,1.2441140024783148,143.99259999999998,2.0392596938189023,0.07273199642569746,0.06754595619998321,189.56341489542353,1373,2373,0.0002809647285367387,229.4599020275774,3860.364150926684,19.8507126159966,10.143760489299893
1870,1100,2057000,1.7,143.99259999999998,2.13539257512009,0.018442391832766164,0.9325960136120564,107.83715675599149,1,1,0.00209378086640869,154.28061983471073,4582.886083329953,0.7635847227647901,10.990330290049314
600,600,360000,1.0,72.009,1.492355325205578,0.047080555555555556,0.03830694444444444,222.63487408495573,68,71,0.00023708709734345188,240.70885833333332,2721.3214893077075,0.16693514119833708,10.382221445441246
1328,1152,1529856,1.1527777777777777,143.99259999999998,1.6125510695945564,0.0542011797188755,0.04836435586094377,202.4541835558832,256,261,0.0004174287167700994,232.3179678348812,3047.602989520952,4.619685382582247,11.191703822774192
1012,582,588984,1.738831615120275,143.99259999999998,1.348513018423224,0.08005650408160493,0.08587160262417995,186.78608949508487,195,236,0.00023547368747357515,228.20346732678647,4665.705896389419,4.685489483177662,9.741699709867438
2000,1608,3216000,1.243781094527363,143.99259999999998,2.0523943736351296,0.07331965174129353,0.06809514925373135,189.52049931232247,1374,2374,0.0002785026913978692,229.25227083333334,3887.1803342400844,17.750118277966976,10.435962041839957
1658,1180,1956440,1.4050847457627118,143.99259999999998,1.233483608112308,0.07986904786244403,0.07256138700905727,191.49241489881524,535,698,0.000263956465517825,229.4246820756067,4291.511211960115,5.244805435650051,10.217721863649786
2194,632,1386608,3.471518987341772,143.99259999999998,1.3542814811415882,0.08829892803157056,0.07481386231725189,200.91165618895903,491,585,0.00023050735575531908,226.883165249299,4670.4083189358835,5.072626903653145,11.132675124332309
845,712,601640,1.1867977528089888,95.9866,7.514090850429421,0.09319692839571837,0.5524333488464863,91.97932345387648,32,108,0.0007473826544751507,99.85413868758727,3215.664706127698,0.7829137267544866,11.141106367111206
1878,1672,3140016,1.1232057416267942,143.99259999999998,1.4804189029640717,0.09490142725387386,0.08981419202959476,194.86135952765704,1231,1337,0.0002028026624788325,223.6770538748847,5255.2835757983885,18.192941113375127,10.633351486486694
771,564,434844,1.3670212765957446,96.012,2.143924976100153,0.06848892936317393,0.009058420950961724,116.58346077039366,2,3,0.00010922217715541231,223.9217144539191,2466.392998416536,0.39459923189133406,11.096125073420504
1854,1098,2035692,1.6885245901639345,143.99259999999998,2.236299018550695,0.10557736632064182,0.044488065974616985,213.91798558392108,1182,2294,0.00018557250800062245,225.38647005539147,4346.820849552605,16.38397383876145,9.869209382683039
1412,1262,1781944,1.1188589540412044,143.99259999999998,1.6338593557818553,0.12435688214668923,0.05272247612719592,214.6154593727675,1262,2202,0.00015181911977273156,223.99028757357132,5043.481007768502,13.679853302426636,11.009530069927374
1024,755,773120,1.3562913907284768,72.009,5.056565825176854,0.07997076779801325,0.9977002276490067,0.0,1,1,0.00272980524344415,66.73668641349337,2028.1223347775958,0.7945952052250504,10.342639186729988
524,881,461644,0.5947786606129398,95.9866,1.627428942186643,0.04538345564980808,0.07818795435443762,182.69438282803057,1,15,0.00020475930630650148,234.2178865099514,3510.2049147557636,7.998050885275006,10.355152330361307
3220,762,2453640,4.225721784776903,143.99259999999998,1.3762386214308746,0.08829453383544449,0.08145917901566652,194.4384743148635,816,985,0.00022659724976411766,226.40164694087153,4791.376715877107,13.249508635140955,10.284138293315968
1008,878,885024,1.1480637813211845,143.99259999999998,1.7685294245935617,0.06886140940810645,0.03755886846006436,207.46078841696138,250,385,0.00032328130431306674,232.14831236215062,2985.1345732085715,5.064198176376522,9.69182165991515
2008,1612,3236896,1.2456575682382134,143.99259999999998,2.0380051102615178,0.07282223463466235,0.06771703508546459,189.16593547870974,1373,2373,0.0002808908054814307,229.31932938222297,3871.7945419484195,19.128874806687236,10.96834278355042
1242,934,1160028,1.3297644539614561,143.99259999999998,1.3116382326415028,0.10264838434934329,0.0440032481974573,210.18196541166512,529,1018,0.00020061179559117837,230.47907636712216,4005.0931108055847,4.945578094571829,9.739820372934142
2144,574,1230656,3.735191637630662,143.99259999999998,1.8057925248004096,0.1164663399032711,0.13659381663113007,178.86471246774707,592,661,0.00015543551214620014,213.88778423864994,6780.9551118391955,6.826354391872883,10.676476085558534
2478,1568,3885504,1.5803571428571428,143.99259999999998,1.4124636298283266,0.05793019386931528,0.037372757819834956,222.77204005118165,1582,2092,0.00031317616774744145,239.02655356936964,2976.305876499426,27.577554672025144,10.210905929096043
2008,1612,3236896,1.2456575682382134,143.99259999999998,2.0380051102615178,0.07282223463466235,0.06771703508546459,189.16593547870974,1373,2373,0.0002808908054814307,229.31932938222297,3871.7945419484195,20.07283021043986,10.344501477045318
765,767,586755,0.9973924380704041,119.9896,1.8311882853155694,0.0388424470179206,0.789195660880606,57.0629323967882,11,13,0.0007010823579267751,174.076045368169,3266.359190557681,0.292683401145041,10.287950806630155
1916,1184,2268544,1.6182432432432432,143.99259999999998,1.868711170184537,0.09222567426507927,0.08202948675449981,174.75561967680082,1047,1615,0.00023807263891167206,226.08907299131073,4012.848871071905,15.681872764602304,10.435005590630075
572,502,287144,1.1394422310756973,119.9896,7.564119383692418,0.19517036748112446,0.31836987713481735,78.09897955961198,76,232,0.0008004702543474053,114.85434834090212,2370.5795677801443,0.23830984346568584,10.116557442272702
2420,572,1384240,4.230769230769231,143.99259999999998,1.5241066643117545,0.11648774778940069,0.04843921574293475,212.67020593535693,924,1519,0.0001668168989678685,226.5227424435069,4629.321110533676,12.575098109431565,10.155271326191723
3270,1214,3969780,2.6935749588138385,143.99259999999998,4.70831418048896,0.0608718871070941,0.05819075616281003,172.08164778520944,1833,2496,0.00040846281413570244,189.91419448936716,3647.7709110214482,35.06530021689832,10.96075699913005
2008,1612,3236896,1.2456575682382134,143.99259999999998,2.0380051102615178,0.07282223463466235,0.06771703508546459,189.16593547870974,1373,2373,0.0002808908054814307,229.31932938222297,3871.7945419484195,20.516794234514236,10.044370374021431
2008,1614,3240912,1.2441140024783148,143.99259999999998,2.0392596938189023,0.07273199642569746,0.06754595619998321,189.56341489542353,1373,2373,0.0002809647285367387,229.4599020275774,3860.364150926684,18.526292796246707,10.519760270913443
800,533,426400,1.5009380863039399,180.0,7.3260076623893635,0.10435975609756097,0.52453212945591,78.1852735887118,25,81,0.0009705738390521422,74.94353658536585,2612.952398186748,0.09685924835503101,9.975574376061559
865,649,561385,1.3328197226502312,72.0,6.887329201735234,0.03728101035831025,0.24523366317233272,109.63594891434245,18,70,0.0008840909461174093,141.572183082911,3124.996865272535,0.9733180766925216,10.18025519295285
192,192,36864,1.0,72.0,2.5990008599650305,0.040120442708333336,0.20292154947916666,161.0725414599409,1,1,0.001057284543451065,220.18622504340277,4483.708565675919,0.20379552897065878,10.856803753102819
960,640,614400,1.5,72.0,6.44991501068017,0.019801432291666667,0.6972452799479166,39.082272151610276,167,286,0.008493542972005386,59.32298014322917,700.192921782809,0.270010226406157,10.804581487861773
1806,502,906612,3.597609561752988,143.99259999999998,1.5184481547396618,0.08215201210661231,0.07441110419892964,196.35712326380303,254,321,0.0002802506210356181,229.0010235911283,4329.3461359987605,4.36659946385771,11.325295958047112
852,166,141432,5.132530120481928,143.99259999999998,0.8658646496416024,0.019564172181684485,0.9928092652299338,0.0,1,1,0.0018539490522653367,38.89677724984445,1622.9857603022692,0.44975398760288954,11.059616452703873
673,96,64608,7.010416666666667,96.012,2.013458762116277,0.10136515601783061,0.0016716196136701336,141.643809996374,0,7,0.0001500573912385943,240.9693845963348,1756.3586156935917,2.5112733226269484,10.30581634429594
1726,842,1453292,2.0498812351543942,95.9866,1.0385055349743169,0.045297847920445444,0.017809566143624268,144.3432690166016,7,27,0.00019807761240189716,245.77881458096513,1385.5145363840218,21.16628082934767,9.974033935305973
1776,678,1204128,2.6194690265486726,143.99259999999998,1.068560020761908,0.066100115602328,0.06303607257700178,193.25993312019523,273,286,0.000361585682292811,232.9833223710436,3736.903884869264,3.0815505869686604,10.810126771219075
1696,1094,1855424,1.5502742230347348,143.99259999999998,1.106917681651265,0.0827298773757373,0.05884584871166914,193.69676862323655,536,711,0.0002599220064138412,233.51000202649098,3663.42909350229,5.222644347697496,10.424065584006408
2416,1386,3348576,1.743145743145743,143.99259999999998,2.023683470110217,0.03730540982196611,0.9804764771652189,111.18803137382326,1,1,0.0004604698284559264,145.1401192626358,3442.2213806830055,1.7656804854050279,9.83335131779313
775,775,600625,1.0,72.009,1.9051001016493638,0.042702185223725285,0.9974210197710718,0.0,1,1,0.0009205846291222442,177.36716420395422,3381.7710252027982,0.23230485245585442,10.434906307297448
1674,1490,2494260,1.123489932885906,143.99259999999998,1.730146096493089,0.107573388499996,0.08904384466735625,194.14480905757307,1227,1367,0.00017659975810883566,224.15313118921043,5240.1648002595575,13.428912179544568,10.458767499774694
2352,618,1453536,3.8058252427184467,143.99259999999998,1.7394810379236416,0.10872451731501662,0.14127926656099332,180.19489317294236,596,664,0.0001684408602713728,213.85457738920812,6927.764393867644,7.5264464141801,9.894615372021994
299,52,15548,5.75,95.96119999999999,0.5545666454783831,0.18883457679444302,0.034216619500900436,231.58965933476395,6,6,2.589430749090432e-05,222.11634936969386,7303.996431952035,0.18054800853133202,10.312476905994117
1602,1128,1807056,1.4202127659574468,143.99259999999998,1.1991435819250957,0.08432112784551225,0.07294378259445197,193.57903228495934,533,699,0.0002424536200081727,230.6832843033088,4282.34454235083,5.5633317874744534,10.71013025691112
2348,1488,3493824,1.5779569892473118,143.99259999999998,1.6260018404106384,0.07783162517631112,0.03071620093055632,225.2150406111383,1264,2533,0.0002931144621207326,238.91660455706986,2961.3513583263502,25.548131205141544,9.02050306710104
2316,1466,3395256,1.5798090040927695,143.99259999999998,1.56153421706931,0.06283001929751394,0.03357552420200421,220.08404041846828,1449,2773,0.0002978055308770964,239.03008786377228,2935.5941208392524,25.517232545651495,10.18027196576198
2414,546,1318044,4.4212454212454215,143.99259999999998,1.5987200816134655,0.12329861522073618,0.05074944387289043,211.96898406866026,833,1523,0.00015574520423764106,224.69894024782178,4889.830406632664,11.952794805169106,10.020428350195289
2060,598,1231880,3.4448160535117056,143.99259999999998,1.3170925595769432,0.09326395428126116,0.07165592427833879,204.36229374107157,491,586,0.00021194847530569056,228.590878981719,4580.174854625645,5.475504987873137,9.950914052935937
913,744,679272,1.2271505376344085,95.9866,0.6560954409105721,0.0313129350245557,0.00043576063785935533,184.69800986773797,0,20,0.0003419401638843355,251.05898520769296,614.637311179739,4.826125995256007,10.186586632703742
2188,1346,2945048,1.62555720653789,143.99259999999998,1.7564916084092141,0.08170902477650618,0.09748754519450957,167.8045406183644,908,1133,0.00026206462502575614,226.54723454422475,4091.8777756074023,16.45702012628317,9.266384688516458
564,279,157356,2.021505376344086,95.9866,1.4494250044483261,0.08194158468695188,0.9946490759805791,0.0,1,1,0.0003493811067923343,25.008356846894937,3148.961374277094,1.6141209211200476,10.422395028794805
2014,1452,2924328,1.3870523415977962,143.99259999999998,2.0392676014521287,0.07113634311882935,0.06985074861643427,188.24022492327597,1308,2068,0.00028191940352840226,229.44578583524145,3865.630404963576,17.697042297571898,9.953896381581822
909,434,394506,2.0944700460829493,95.9866,1.967999416449266,0.046009439653642785,0.0073154780915879606,197.18758049926493,17,36,0.0002713168046742833,218.88216402285389,2229.077522671215,1.632977556437254,10.667943596839905
1824,808,1473792,2.257425742574257,143.99259999999998,2.900499645957757,0.012887164538822304,0.4884247573606045,82.00721875216666,3,3,0.007456231536576683,159.20440740620114,2042.2793769074965,0.5557628450915217,10.13928743544966
486,442,214812,1.0995475113122173,95.9866,0.8211175466540147,0.01358397110031097,0.18043684710351376,132.30018070177914,2,9,0.001873098035369089,229.75699681582034,2741.0698435552295,0.37965999357402325,9.836840726124743
1882,1226,2307332,1.535073409461664,143.99259999999998,1.0404054806730574,0.07422858955711618,0.05953326179327466,193.45217306454262,538,699,0.00030097665003588883,234.39823181059336,3606.0743796324664,5.318968598730862,10.845418081618845
3072,4080,12533760,0.7529411764705882,72.0,7.672432749808138,0.15285899841707518,0.6153475892310049,88.28264174360447,2319,4649,0.0009683369894337629,98.54900468813828,3098.054252090635,1.4001524969935417,11.43844789887468
